Year,Metric,Value
2015,Alcohol price index,474.183493
2014,Alcohol price index,471.6585543
2013,Alcohol price index,462.7371041
2012,Alcohol price index,449.4390935
2011,Alcohol price index,435.1311074
2010,Alcohol price index,411.2283541
2009,Alcohol price index,397.2570265
2008,Alcohol price index,383.2856988
2007,Alcohol price index,368.6410542
2006,Alcohol price index,358.0363116
2005,Alcohol price index,349.6198491
2004,Alcohol price index,342.816542
2003,Alcohol price index,336.3498934
2002,Alcohol price index,329.3361747
2001,Alcohol price index,322.0138524
2000,Alcohol price index,315.4209568
1999,Alcohol price index,310.5674635
1998,Alcohol price index,302.726126
1997,Alcohol price index,292.7385906
1996,Alcohol price index,284.799061
1995,Alcohol price index,276.8174492
1994,Alcohol price index,266.7317217
1993,Alcohol price index,260.3772925
1992,Alcohol price index,249.3517268
1991,Alcohol price index,234.2722316
1990,Alcohol price index,208.4196645
1989,Alcohol price index,190.057749
1988,Alcohol price index,179.8738295
1987,Alcohol price index,171.2469555
1986,Alcohol price index,164.4746475
1985,Alcohol price index,157.3924945
1984,Alcohol price index,148.0917974
1983,Alcohol price index,139.9688067
1982,Alcohol price index,130.2415889
1981,Alcohol price index,116.9112264
1980,Alcohol price index,100
2015,"Retail prices index
(all items)",386.7207053
2014,"Retail prices index
(all items)",382.9806598
2013,"Retail prices index
(all items)",374.1541524
2012,"Retail prices index
(all items)",363.0836177
2011,"Retail prices index
(all items)",351.8634812
2010,"Retail prices index
(all items)",334.5096701
2009,"Retail prices index
(all items)",319.6990899
2008,"Retail prices index
(all items)",321.3447099
2007,"Retail prices index
(all items)",309.0773606
2006,"Retail prices index
(all items)",296.3612059
2005,"Retail prices index
(all items)",287.2354949
2004,"Retail prices index
(all items)",279.3065984
2003,"Retail prices index
(all items)",271.2281001
2002,"Retail prices index
(all items)",263.5984073
2001,"Retail prices index
(all items)",259.2599545
2000,"Retail prices index
(all items)",254.7718999
1999,"Retail prices index
(all items)",247.4414107
1998,"Retail prices index
(all items)",243.7013652
1997,"Retail prices index
(all items)",235.6228669
1996,"Retail prices index
(all items)",228.4419795
1995,"Retail prices index
(all items)",223.056314
1994,"Retail prices index
(all items)",215.576223
1993,"Retail prices index
(all items)",210.4897611
1992,"Retail prices index
(all items)",207.198521
1991,"Retail prices index
(all items)",199.71843
1990,"Retail prices index
(all items)",188.6478953
1989,"Retail prices index
(all items)",172.3412969
1988,"Retail prices index
(all items)",159.9243458
1987,"Retail prices index
(all items)",152.4442548
1986,"Retail prices index
(all items)",146.3405385
1985,"Retail prices index
(all items)",141.5244596
1984,"Retail prices index
(all items)",133.4091771
1983,"Retail prices index
(all items)",127.076223
1982,"Retail prices index
(all items)",121.5017065
1981,"Retail prices index
(all items)",111.8695487
1980,"Retail prices index
(all items)",100
2015,Alcohol price index relative to Retail price index (all items),122.6165257
2014,Alcohol price index relative to Retail price index (all items),123.1546665
2013,Alcohol price index relative to Retail price index (all items),123.6755228
2012,Alcohol price index relative to Retail price index (all items),123.7839086
2011,Alcohol price index relative to Retail price index (all items),123.6647537
2010,Alcohol price index relative to Retail price index (all items),122.9346685
