Year,Org_Type,ONS_Code,Org_Code,Org_Name,Classification,Metric_Primary,Value
2014/15,National,E92000001,ENG,England,FAE_Primary_Obesity,All persons,9130
2014/15,National,U,U,Unknown,FAE_Primary_Obesity,All persons,0
2014/15,Region,E12000001,A,North East,FAE_Primary_Obesity,All persons,1829
2014/15,LocalAuthority,E06000005,117,Darlington Borough Council (Unitary)                                                                ,FAE_Primary_Obesity,All persons,54
2014/15,LocalAuthority,E06000047,116,Durham County Council                                                                               ,FAE_Primary_Obesity,All persons,507
2014/15,LocalAuthority,E08000037,106,Gateshead Metropolitan Borough Council                                                              ,FAE_Primary_Obesity,All persons,138
2014/15,LocalAuthority,E06000001,111,Hartlepool Borough Council (Unitary)                                                                ,FAE_Primary_Obesity,All persons,82
2014/15,LocalAuthority,E06000002,112,Middlesbrough Council (Unitary)                                                                     ,FAE_Primary_Obesity,All persons,89
2014/15,LocalAuthority,E08000021,107,Newcastle-upon-Tyne City Council                                                          ,FAE_Primary_Obesity,All persons,80
2014/15,LocalAuthority,E08000022,108,North Tyneside Council                                                                              ,FAE_Primary_Obesity,All persons,56
2014/15,LocalAuthority,E06000057,104,Northumberland County Council                                                                       ,FAE_Primary_Obesity,All persons,78
2014/15,LocalAuthority,E06000003,113,Redcar & Cleveland Borough Council                                                                  ,FAE_Primary_Obesity,All persons,82
2014/15,LocalAuthority,E08000023,109,South Tyneside Metropolitan Borough Council                                                         ,FAE_Primary_Obesity,All persons,152
2014/15,LocalAuthority,E06000004,114,Stockton-on-Tees Borough Council (Unitary)                                                          ,FAE_Primary_Obesity,All persons,136
2014/15,LocalAuthority,E08000024,110,Sunderland City Council                                                                             ,FAE_Primary_Obesity,All persons,375
2014/15,Region,E12000002,B,North West,FAE_Primary_Obesity,All persons,887
2014/15,LocalAuthority,E06000008,324,Blackburn with Darwen Borough Council (Unitary)                                                     ,FAE_Primary_Obesity,All persons,29
2014/15,LocalAuthority,E06000009,325,Blackpool Borough Council (Unitary)                                                                 ,FAE_Primary_Obesity,All persons,28
2014/15,LocalAuthority,E08000001,304,Bolton Metropolitan Borough Council                                                                 ,FAE_Primary_Obesity,All persons,30
2014/15,LocalAuthority,E08000002,305,Bury Metropolitan Borough Council                                                                   ,FAE_Primary_Obesity,All persons,20
2014/15,LocalAuthority,E06000049,326,Cheshire East Council                                                                               ,FAE_Primary_Obesity,All persons,33
2014/15,LocalAuthority,E06000050,327,Cheshire West and Chester Council,FAE_Primary_Obesity,All persons,74
2014/15,LocalAuthority,E10000006,102,Cumbria County Council                                                                              ,FAE_Primary_Obesity,All persons,71
2014/15,LocalAuthority,E06000006,321,Halton Borough Council (Unitary)                                                                    ,FAE_Primary_Obesity,All persons,21
2014/15,LocalAuthority,E08000011,315,Knowsley Metropolitan Borough Council                                                               ,FAE_Primary_Obesity,All persons,37
2014/15,LocalAuthority,E10000017,323,Lancashire County Council                                                                           ,FAE_Primary_Obesity,All persons,83
2014/15,LocalAuthority,E08000012,316,Liverpool City Council                                                                              ,FAE_Primary_Obesity,All persons,81
2014/15,LocalAuthority,E08000003,306,Manchester City Council                                                                             ,FAE_Primary_Obesity,All persons,73
2014/15,LocalAuthority,E08000004,307,Oldham Metropolitian Borough Council                                                                ,FAE_Primary_Obesity,All persons,25
2014/15,LocalAuthority,E08000005,308,Rochdale Metropolitan Borough Council                                                               ,FAE_Primary_Obesity,All persons,49
2014/15,LocalAuthority,E08000006,309,Salford City Council                                                                                ,FAE_Primary_Obesity,All persons,17
2014/15,LocalAuthority,E08000014,317,Sefton Council                                                                                      ,FAE_Primary_Obesity,All persons,46
2014/15,LocalAuthority,E08000013,318,St Helens Metropolitan Borough Council                                                              ,FAE_Primary_Obesity,All persons,24
2014/15,LocalAuthority,E08000007,310,Stockport Metropolitan Borough Council                                                              ,FAE_Primary_Obesity,All persons,16
2014/15,LocalAuthority,E08000008,311,Tameside Metropolitan Borough Council                                                               ,FAE_Primary_Obesity,All persons,14
2014/15,LocalAuthority,E08000009,312,Trafford Metropolitan Borough Council                                                               ,FAE_Primary_Obesity,All persons,22
2014/15,LocalAuthority,E06000007,322,Warrington Borough Council (Unitary)                                                                ,FAE_Primary_Obesity,All persons,19
2014/15,LocalAuthority,E08000010,313,Wigan Metropolitan Borough Council                                                                  ,FAE_Primary_Obesity,All persons,45
2014/15,LocalAuthority,E08000015,319,Wirral Metropolitan Borough Council                                                                 ,FAE_Primary_Obesity,All persons,30
2014/15,Region,E12000003,D,Yorkshire and the Humber,FAE_Primary_Obesity,All persons,610
2014/15,LocalAuthority,E08000016,204,Barnsley Metropolitan Borough Council                                                               ,FAE_Primary_Obesity,All persons,33
2014/15,LocalAuthority,E08000033,210,Calderdale Metropolitan Borough Council                                                             ,FAE_Primary_Obesity,All persons,30
2014/15,LocalAuthority,E08000032,209,City of Bradford Metropolitan District Council                                                      ,FAE_Primary_Obesity,All persons,60
2014/15,LocalAuthority,E08000017,205,Doncaster Council                                                                                   ,FAE_Primary_Obesity,All persons,49
2014/15,LocalAuthority,E06000011,214,East Riding of Yorkshire Council (Unitary)                                                          ,FAE_Primary_Obesity,All persons,27
2014/15,LocalAuthority,E06000010,215,Kingston-upon-Hull City Council (Unitary)                                                           ,FAE_Primary_Obesity,All persons,28
2014/15,LocalAuthority,E08000034,211,Kirklees Council                                                                                    ,FAE_Primary_Obesity,All persons,45
2014/15,LocalAuthority,E08000035,212,Leeds City Council                                                                                  ,FAE_Primary_Obesity,All persons,56
2014/15,LocalAuthority,E06000012,216,North East Lincolnshire Council (Unitary)                                                           ,FAE_Primary_Obesity,All persons,11
2014/15,LocalAuthority,E06000013,217,North Lincolnshire Council (Unitary)                                                                ,FAE_Primary_Obesity,All persons,17
2014/15,LocalAuthority,E10000023,218,North Yorkshire County Council                                                                      ,FAE_Primary_Obesity,All persons,103
2014/15,LocalAuthority,E08000018,206,Rotherham Metropolitan Borough Council                                                              ,FAE_Primary_Obesity,All persons,10
2014/15,LocalAuthority,E08000019,207,Sheffield City Council                                                                              ,FAE_Primary_Obesity,All persons,68
2014/15,LocalAuthority,E08000036,213,Wakefield Council                                                                                   ,FAE_Primary_Obesity,All persons,51
2014/15,LocalAuthority,E06000014,219,York City Council                                                                                   ,FAE_Primary_Obesity,All persons,22
2014/15,Region,E12000004,E,East Midlands,FAE_Primary_Obesity,All persons,295
2014/15,LocalAuthority,E06000015,507,Derby City Council (Unitary)                                                                        ,FAE_Primary_Obesity,All persons,16
2014/15,LocalAuthority,E10000007,506,Derbyshire County Council                                                                           ,FAE_Primary_Obesity,All persons,61
2014/15,LocalAuthority,E06000016,509,Leicester City Council (Unitary)                                                                    ,FAE_Primary_Obesity,All persons,*
2014/15,LocalAuthority,E10000018,508,Leicestershire County Council                                                                       ,FAE_Primary_Obesity,All persons,22
2014/15,LocalAuthority,E10000019,503,Lincolnshire County Council                                                                         ,FAE_Primary_Obesity,All persons,61
2014/15,LocalAuthority,E10000021,504,Northamptonshire County Council                                                                     ,FAE_Primary_Obesity,All persons,42
2014/15,LocalAuthority,E06000018,512,Nottingham City Council (Unitary)                                                                   ,FAE_Primary_Obesity,All persons,16
2014/15,LocalAuthority,E10000024,511,Nottinghamshire County Council                                                                      ,FAE_Primary_Obesity,All persons,61
2014/15,LocalAuthority,E06000017,510,Rutland County Council                                                                              ,FAE_Primary_Obesity,All persons,*
2014/15,Region,E12000005,F,West Midlands,FAE_Primary_Obesity,All persons,915
2014/15,LocalAuthority,E08000025,406,Birmingham City Council                                                                             ,FAE_Primary_Obesity,All persons,154
2014/15,LocalAuthority,E08000026,407,Coventry City Council                                                                               ,FAE_Primary_Obesity,All persons,27
2014/15,LocalAuthority,E08000027,408,Dudley Metropolitan Borough Council                                                                 ,FAE_Primary_Obesity,All persons,34
2014/15,LocalAuthority,E06000019,415,Herefordshire Council                                                                               ,FAE_Primary_Obesity,All persons,24
2014/15,LocalAuthority,E08000028,409,Sandwell Metropolitan Borough Council,FAE_Primary_Obesity,All persons,73
2014/15,LocalAuthority,E06000051,417,Shropshire Council                                                                                  ,FAE_Primary_Obesity,All persons,58
2014/15,LocalAuthority,E08000029,410,Solihull Metropolitan Borough Council                                                               ,FAE_Primary_Obesity,All persons,21
2014/15,LocalAuthority,E10000028,413,Staffordshire County Council                                                                        ,FAE_Primary_Obesity,All persons,106
2014/15,LocalAuthority,E06000021,414,Stoke-on-Trent City Council (Unitary)                                                               ,FAE_Primary_Obesity,All persons,126
2014/15,LocalAuthority,E06000020,418,Telford and Wrekin Council (Unitary)                                                                ,FAE_Primary_Obesity,All persons,94
2014/15,LocalAuthority,E08000030,411,Walsall Metropolitan Borough Council                                                                ,FAE_Primary_Obesity,All persons,36
2014/15,LocalAuthority,E10000031,404,Warwickshire County Council                                                                         ,FAE_Primary_Obesity,All persons,51
2014/15,LocalAuthority,E08000031,412,Wolverhampton City Council                                                                          ,FAE_Primary_Obesity,All persons,41
2014/15,LocalAuthority,E10000034,416,Worcestershire County Council                                                                       ,FAE_Primary_Obesity,All persons,70
2014/15,Region,E12000006,G,East of England,FAE_Primary_Obesity,All persons,570
